state_code,state_name,district_code,district_name,ngdp_code,parameter,census_1970,census_1980,census_1991,census_2000,census_2010,census_2020
1,Johor,1,Batu Pahat,0101,Pop_ReligionNoReligionUnknown,..,..,2383,1151,2496,1085
1,Johor,1,Batu Pahat,0101,LandAreaKm2,..,..,..,..,..,1966.31
1,Johor,1,Batu Pahat,0101,Pop_Density,..,..,..,..,..,251.91246548102791
1,Johor,1,Batu Pahat,0101,Pop_StrataUrban,..,64727,96335,161508,221888,309750
1,Johor,1,Batu Pahat,0101,Pop_StrataRural,..,209898,197721,175001,180014,185588
1,Johor,2,Johor Bahru,0102,Pop_GenderTotal,267913,406871,704471,1081978,1334188,1711191
1,Johor,2,Johor Bahru,0102,Pop_GenderMale,136870,208189,366337,564466,708660,907315
1,Johor,2,Johor Bahru,0102,Pop_GenderFemale,131043,198682,338134,517512,625528,803876
1,Johor,2,Johor Bahru,0102,Pop_CitizenshipCitizen,267913,406871,678287,1017892,1218496,1588023
1,Johor,2,Johor Bahru,0102,Pop_CitizenshipNon-citizen,..,..,26184,64086,115692,123168
1,Johor,2,Johor Bahru,0102,AnnualPopGrowthRate_Average,..,4.1783388094284497,5.4895098466009253,4.2909895993710867,2.0953201959864343,2.4886675220615677
1,Johor,2,Johor Bahru,0102,Pop_EthnicMalay,122373,206085,326104,505818,603800,794408
1,Johor,2,Johor Bahru,0102,Pop_EthnicOtherBumi,..,..,3255,15430,30353,32411
1,Johor,2,Johor Bahru,0102,Pop_EthnicChinese,112017,161615,260493,387522,456112,606262
1,Johor,2,Johor Bahru,0102,Pop_EthnicIndian,29212,37956,64923,101827,120683,144991
1,Johor,2,Johor Bahru,0102,Pop_EthnicOther,4311,1215,23512,7295,7548,9951
1,Johor,2,Johor Bahru,0102,Pop_AgeGroup0014,..,149163,229812,327529,363540,450281
1,Johor,2,Johor Bahru,0102,Pop_AgeGroup1564,..,244479,456055,727994,924219,1159951
1,Johor,2,Johor Bahru,0102,Pop_AgeGroup65++,..,13229,18604,26455,46429,100959
1,Johor,2,Johor Bahru,0102,Pop_MaritalNeverMarried,..,..,248101,289176,368322,428860
1,Johor,2,Johor Bahru,0102,Pop_MaritalMarried,..,..,269251,436574,556258,776542
1,Johor,2,Johor Bahru,0102,Pop_MaritalWiddowed,..,..,16602,23984,39505,31571
1,Johor,2,Johor Bahru,0102,Pop_MaritalDivorcedSeparated,..,..,2906,4715,6563,23545
1,Johor,2,Johor Bahru,0102,Pop_ReligionIslam,..,..,376354,577765,681428,883183
1,Johor,2,Johor Bahru,0102,Pop_ReligionChristian,..,..,19029,35139,45536,75957
1,Johor,2,Johor Bahru,0102,Pop_ReligionBuddha,..,..,196853,336341,457761,566112
1,Johor,2,Johor Bahru,0102,Pop_ReligionHindu,..,..,55420,90901,122074,156071
1,Johor,2,Johor Bahru,0102,Pop_ReligionOthers,..,..,46926,28854,7489,15094
1,Johor,2,Johor Bahru,0102,Pop_ReligionNoReligionUnknown,..,..,8101,12978,19900,14774
1,Johor,2,Johor Bahru,0102,LandAreaKm2,..,..,..,..,..,1065.8399999999999
1,Johor,2,Johor Bahru,0102,Pop_Density,..,..,..,..,..,1605.4858140058548
1,Johor,2,Johor Bahru,0102,Pop_StrataUrban,..,270022,560227,985407,1242608,1702424
1,Johor,2,Johor Bahru,0102,Pop_StrataRural,..,136849,144244,96571,91580,8767
1,Johor,3,Kluang,0103,Pop_GenderTotal,134510,179791,224424,255601,288364,323762
1,Johor,3,Kluang,0103,Pop_GenderMale,68791,91583,115871,134214,160007,179314
1,Johor,3,Kluang,0103,Pop_GenderFemale,65719,88208,108553,121387,128357,144448
1,Johor,3,Kluang,0103,Pop_CitizenshipCitizen,134510,179791,216660,241426,253682,289981
1,Johor,3,Kluang,0103,Pop_CitizenshipNon-citizen,..,..,7764,14175,34682,33781
1,Johor,3,Kluang,0103,AnnualPopGrowthRate_Average,..,2.9015651944685295,2.2174205463391226,1.3008051505753837,1.2060593613082708,1.1578510697427853
1,Johor,3,Kluang,0103,Pop_EthnicMalay,49931,79253,99086,129458,138223,166614
1,Johor,3,Kluang,0103,Pop_EthnicOtherBumi,..,..,1108,1789,3711,4810
1,Johor,3,Kluang,0103,Pop_EthnicChinese,65761,77138,81761,84170,86690,92320
1,Johor,3,Kluang,0103,Pop_EthnicIndian,18477,23052,24671,24867,24012,24842
1,Johor,3,Kluang,0103,Pop_EthnicOther,341,348,10034,1142,1046,1395
1,Johor,3,Kluang,0103,Pop_AgeGroup0014,..,74668,83945,84642,74961,75113
1,Johor,3,Kluang,0103,Pop_AgeGroup1564,..,99139,133331,161684,196367,229899
1,Johor,3,Kluang,0103,Pop_AgeGroup65++,..,5984,7148,9275,17036,18750
1,Johor,3,Kluang,0103,Pop_MaritalNeverMarried,..,..,74984,57159,75826,83548
1,Johor,3,Kluang,0103,Pop_MaritalMarried,..,..,85021,105634,124044,148113
1,Johor,3,Kluang,0103,Pop_MaritalWiddowed,..,..,5886,7320,12187,13305
1,Johor,3,Kluang,0103,Pop_MaritalDivorcedSeparated,..,..,716,846,1346,3596
1,Johor,3,Kluang,0103,Pop_ReligionIslam,..,..,117636,144879,162446,193955
1,Johor,3,Kluang,0103,Pop_ReligionChristian,..,..,3642,3934,5101,6792
1,Johor,3,Kluang,0103,Pop_ReligionBuddha,..,..,63821,71240,86974,91720
1,Johor,3,Kluang,0103,Pop_ReligionHindu,..,..,22044,22915,24172,28316
1,Johor,3,Kluang,0103,Pop_ReligionOthers,..,..,15572,11254,2384,1274
1,Johor,3,Kluang,0103,Pop_ReligionNoReligionUnknown,..,..,1339,1379,7287,1705
1,Johor,3,Kluang,0103,LandAreaKm2,..,..,..,..,..,2864.53
1,Johor,3,Kluang,0103,Pop_Density,..,..,..,..,..,113.02447521932044
1,Johor,3,Kluang,0103,Pop_StrataUrban,..,50315,98669,149070,174663,225555
1,Johor,3,Kluang,0103,Pop_StrataRural,..,129476,125755,106531,113701,98207
1,Johor,4,Kota Tinggi,0104,Pop_GenderTotal,60942,114267,174425,192336,187824,222382
1,Johor,4,Kota Tinggi,0104,Pop_GenderMale,31906,59944,90836,101139,98733,118422
1,Johor,4,Kota Tinggi,0104,Pop_GenderFemale,29036,54323,83589,91197,89091,103960
1,Johor,4,Kota Tinggi,0104,Pop_CitizenshipCitizen,60942,114267,167920,181458,171356,208575
1,Johor,4,Kota Tinggi,0104,Pop_CitizenshipNon-citizen,..,..,6505,10878,16468,13807
1,Johor,4,Kota Tinggi,0104,AnnualPopGrowthRate_Average,..,6.2861522301869988,4.2295703462118137,0.97748992736598206,-0.23738488425732127,1.6889126971302817
1,Johor,4,Kota Tinggi,0104,Pop_EthnicMalay,39741,91691,132338,155137,144800,179989
1,Johor,4,Kota Tinggi,0104,Pop_EthnicOtherBumi,..,..,789,1095,1580,3587
1,Johor,4,Kota Tinggi,0104,Pop_EthnicChinese,17150,17583,18903,19163,18817,18630
1,Johor,4,Kota Tinggi,0104,Pop_EthnicIndian,3857,4954,6142,5573,5592,5541
1,Johor,4,Kota Tinggi,0104,Pop_EthnicOther,194,39,9748,490,567,828
1,Johor,4,Kota Tinggi,0104,Pop_AgeGroup0014,..,53426,73555,65629,50611,52555
1,Johor,4,Kota Tinggi,0104,Pop_AgeGroup1564,..,58228,97247,121738,126704,157268
1,Johor,4,Kota Tinggi,0104,Pop_AgeGroup65++,..,2613,3623,4969,10509,12559
1,Johor,4,Kota Tinggi,0104,Pop_MaritalNeverMarried,..,..,58265,45702,45213,57803
1,Johor,4,Kota Tinggi,0104,Pop_MaritalMarried,..,..,61952,75808,83506,99096
1,Johor,4,Kota Tinggi,0104,Pop_MaritalWiddowed,..,..,3173,4582,7705,10820
1,Johor,4,Kota Tinggi,0104,Pop_MaritalDivorcedSeparated,..,..,503,615,789,2085
1,Johor,4,Kota Tinggi,0104,Pop_ReligionIslam,..,..,148829,167015,160223,194191
1,Johor,4,Kota Tinggi,0104,Pop_ReligionChristian,..,..,1229,1200,1512,2326
1,Johor,4,Kota Tinggi,0104,Pop_ReligionBuddha,..,..,14168,15597,18846,18315
1,Johor,4,Kota Tinggi,0104,Pop_ReligionHindu,..,..,5167,4847,5166,6281
1,Johor,4,Kota Tinggi,0104,Pop_ReligionOthers,..,..,4248,3289,1075,545
1,Johor,4,Kota Tinggi,0104,Pop_ReligionNoReligionUnknown,..,..,420,388,1002,724
1,Johor,4,Kota Tinggi,0104,LandAreaKm2,..,..,..,..,..,3488.55
1,Johor,4,Kota Tinggi,0104,Pop_Density,..,..,..,..,..,63.746255607630673
1,Johor,4,Kota Tinggi,0104,Pop_StrataUrban,..,13056,24327,38863,70726,107232
1,Johor,4,Kota Tinggi,0104,Pop_StrataRural,..,101211,150098,153473,117098,115150
1,Johor,5,Mersing,0105,Pop_GenderTotal,34644,42208,63643,67605,69028,78195
1,Johor,5,Mersing,0105,Pop_GenderMale,17600,21886,32579,34745,36595,41939
1,Johor,5,Mersing,0105,Pop_GenderFemale,17044,20322,31064,32860,32433,36256
1,Johor,5,Mersing,0105,Pop_CitizenshipCitizen,34644,42208,62555,65804,62268,74072
1,Johor,5,Mersing,0105,Pop_CitizenshipNon-citizen,..,..,1088,1801,6760,4123
1,Johor,5,Mersing,0105,AnnualPopGrowthRate_Average,..,1.9748522606610581,4.1067956598703867,0.60392602288778474,0.20830274574611141,1.2469348750284648
1,Johor,5,Mersing,0105,Pop_EthnicMalay,24517,30354,48373,55310,51946,62903
1,Johor,5,Mersing,0105,Pop_EthnicOtherBumi,..,..,1134,1461,2450,2984
1,Johor,5,Mersing,0105,Pop_EthnicChinese,9059,10547,9986,8180,7072,7119
1,Johor,5,Mersing,0105,Pop_EthnicIndian,990,1211,899,736,717,864
1,Johor,5,Mersing,0105,Pop_EthnicOther,78,96,2163,117,83,202
1,Johor,5,Mersing,0105,Pop_AgeGroup0014,..,16936,28140,26086,20373,18786
1,Johor,5,Mersing,0105,Pop_AgeGroup1564,..,23458,33450,39173,45119,55134
1,Johor,5,Mersing,0105,Pop_AgeGroup65++,..,1814,2053,2346,3536,4275
1,Johor,5,Mersing,0105,Pop_MaritalNeverMarried,..,..,18132,13848,16666,20485
1,Johor,5,Mersing,0105,Pop_MaritalMarried,..,..,22830,25418,28522,34383
1,Johor,5,Mersing,0105,Pop_MaritalWiddowed,..,..,1811,1924,3082,3761
1,Johor,5,Mersing,0105,Pop_MaritalDivorcedSeparated,..,..,255,329,385,751
1,Johor,5,Mersing,0105,Pop_ReligionIslam,..,..,51501,57349,57489,67527
1,Johor,5,Mersing,0105,Pop_ReligionChristian,..,..,229,539,890,992
1,Johor,5,Mersing,0105,Pop_ReligionBuddha,..,..,7059,6003,7379,6953
1,Johor,5,Mersing,0105,Pop_ReligionHindu,..,..,708,644,630,1128
1,Johor,5,Mersing,0105,Pop_ReligionOthers,..,..,3151,2899,71,491
1,Johor,5,Mersing,0105,Pop_ReligionNoReligionUnknown,..,..,598,171,2569,1104
1,Johor,5,Mersing,0105,LandAreaKm2,..,..,..,..,..,2856.59
1,Johor,5,Mersing,0105,Pop_Density,..,..,..,..,..,27.373546781302181
1,Johor,5,Mersing,0105,Pop_StrataUrban,..,13888,19055,19988,23759,22553
1,Johor,5,Mersing,0105,Pop_StrataRural,..,28320,44588,47617,45269,55642
1,Johor,6,Muar,0106,Pop_GenderTotal,278903,291129,301804,330355,239027,314776
1,Johor,6,Muar,0106,Pop_GenderMale,137075,141585,148348,168014,125056,173296
1,Johor,6,Muar,0106,Pop_GenderFemale,141828,149544,153456,162341,113971,141480
1,Johor,6,Muar,0106,Pop_CitizenshipCitizen,278903,291129,299831,318620,225267,280956
1,Johor,6,Muar,0106,Pop_CitizenshipNon-citizen,..,..,1973,11735,13760,33820
1,Johor,6,Muar,0106,AnnualPopGrowthRate_Average,..,0.4290241679344915,0.36011332143782804,0.90390033767355094,-3.2359131756164561,2.7528475849298961
1,Johor,6,Muar,0106,Pop_EthnicMalay,156815,161732,154351,191670,132212,172714
1,Johor,6,Muar,0106,Pop_EthnicOtherBumi,..,..,969,1394,1478,1709
1,Johor,6,Muar,0106,Pop_EthnicChinese,110476,118057,117776,114081,85395,100430
1,Johor,6,Muar,0106,Pop_EthnicIndian,11336,11023,11303,10617,5671,5452
1,Johor,6,Muar,0106,Pop_EthnicOther,276,317,15432,858,511,651
1,Johor,6,Muar,0106,Pop_AgeGroup0014,..,119988,107632,107681,65920,71991
1,Johor,6,Muar,0106,Pop_AgeGroup1564,..,158355,178036,202082,153827,222120
1,Johor,6,Muar,0106,Pop_AgeGroup65++,..,12786,16136,20592,19280,20665
1,Johor,6,Muar,0106,Pop_MaritalNeverMarried,..,..,103307,76153,61720,97778
1,Johor,6,Muar,0106,Pop_MaritalMarried,..,..,111051,131262,97409,132260
1,Johor,6,Muar,0106,Pop_MaritalWiddowed,..,..,12570,14208,13154,10542
1,Johor,6,Muar,0106,Pop_MaritalDivorcedSeparated,..,..,1032,1051,824,2188
1,Johor,6,Muar,0106,Pop_ReligionIslam,..,..,171661,203987,139857,196033
1,Johor,6,Muar,0106,Pop_ReligionChristian,..,..,3190,3439,2344,5137
1,Johor,6,Muar,0106,Pop_ReligionBuddha,..,..,92168,97478,86046,101002
1,Johor,6,Muar,0106,Pop_ReligionHindu,..,..,10211,10128,6906,10155
1,Johor,6,Muar,0106,Pop_ReligionOthers,..,..,20883,13908,1320,1546
1,Johor,6,Muar,0106,Pop_ReligionNoReligionUnknown,..,..,1628,1415,2554,903
1,Johor,6,Muar,0106,LandAreaKm2,..,..,..,..,..,1392.58
1,Johor,6,Muar,0106,Pop_Density,..,..,..,..,..,226.03800140745955
1,Johor,6,Muar,0106,Pop_StrataUrban,..,78402,97157,150447,132983,180241
1,Johor,6,Muar,0106,Pop_StrataRural,..,212727,204647,179908,106044,134535
1,Johor,7,Pontian,0107,Pop_GenderTotal,117686,121031,129356,142697,149938,173318
1,Johor,7,Pontian,0107,Pop_GenderMale,58600,59469,64533,72509,78266,93247
1,Johor,7,Pontian,0107,Pop_GenderFemale,59086,61562,64823,70188,71672,80071
1,Johor,7,Pontian,0107,Pop_CitizenshipCitizen,117686,121031,126793,137374,139002,159983
1,Johor,7,Pontian,0107,Pop_CitizenshipNon-citizen,..,..,2563,5323,10936,13335
1,Johor,7,Pontian,0107,AnnualPopGrowthRate_Average,..,0.28026650413204895,0.66521582200623974,0.981552078050834,0.49498374180790561,1.4490618213879478
1,Johor,7,Pontian,0107,Pop_EthnicMalay,72267,75126,57361,92332,95732,113498
1,Johor,7,Pontian,0107,Pop_EthnicOtherBumi,..,..,709,489,1202,1771
1,Johor,7,Pontian,0107,Pop_EthnicChinese,43847,44519,43058,42860,40188,42608
1,Johor,7,Pontian,0107,Pop_EthnicIndian,1536,1331,1283,1284,1481,1367
1,Johor,7,Pontian,0107,Pop_EthnicOther,36,55,24382,409,399,739
1,Johor,7,Pontian,0107,Pop_AgeGroup0014,..,49677,46872,46829,42413,40237
1,Johor,7,Pontian,0107,Pop_AgeGroup1564,..,65604,75120,86649,95217,122497
1,Johor,7,Pontian,0107,Pop_AgeGroup65++,..,5750,7364,9219,12308,10584
1,Johor,7,Pontian,0107,Pop_MaritalNeverMarried,..,..,42936,32396,38382,45959
1,Johor,7,Pontian,0107,Pop_MaritalMarried,..,..,48458,56728,60973,77854
1,Johor,7,Pontian,0107,Pop_MaritalWiddowed,..,..,5482,6121,7364,7499
1,Johor,7,Pontian,0107,Pop_MaritalDivorcedSeparated,..,..,504,623,806,1743
1,Johor,7,Pontian,0107,Pop_ReligionIslam,..,..,84883,98108,103477,125176
1,Johor,7,Pontian,0107,Pop_ReligionChristian,..,..,653,820,1055,1894
1,Johor,7,Pontian,0107,Pop_ReligionBuddha,..,..,29420,34170,40028,41562
1,Johor,7,Pontian,0107,Pop_ReligionHindu,..,..,1152,1213,2205,3326
1,Johor,7,Pontian,0107,Pop_ReligionOthers,..,..,12818,8166,1857,1126
1,Johor,7,Pontian,0107,Pop_ReligionNoReligionUnknown,..,..,340,220,1316,234
1,Johor,7,Pontian,0107,LandAreaKm2,..,..,..,..,..,932.63
1,Johor,7,Pontian,0107,Pop_Density,..,..,..,..,..,185.83789927409583
1,Johor,7,Pontian,0107,Pop_StrataUrban,..,21789,40183,57865,72875,83930
1,Johor,7,Pontian,0107,Pop_StrataRural,..,99242,89173,84832,77063,89388
1,Johor,8,Segamat,0108,Pop_GenderTotal,127600,150501,177561,177916,182985,197762
1,Johor,8,Segamat,0108,Pop_GenderMale,64280,75253,88834,88781,92663,103200
1,Johor,8,Segamat,0108,Pop_GenderFemale,63320,75248,88727,89135,90322,94562
1,Johor,8,Segamat,0108,Pop_CitizenshipCitizen,127600,150501,173535,172160,172799,186121
1,Johor,8,Segamat,0108,Pop_CitizenshipNon-citizen,..,..,4026,5756,10186,11641
1,Johor,8,Segamat,0108,AnnualPopGrowthRate_Average,..,1.650693577744387,1.6534448316392374,1.9973169460529717E-2,0.28092653473705764,0.77660105217984965
1,Johor,8,Segamat,0108,Pop_EthnicMalay,51080,61379,76530,90135,96258,103554
1,Johor,8,Segamat,0108,Pop_EthnicOtherBumi,..,..,1246,1487,2447,3142
1,Johor,8,Segamat,0108,Pop_EthnicChinese,60858,70936,69920,63546,58420,63132
1,Johor,8,Segamat,0108,Pop_EthnicIndian,15428,18065,19291,16320,15162,15711
1,Johor,8,Segamat,0108,Pop_EthnicOther,234,121,6548,672,512,582
1,Johor,8,Segamat,0108,Pop_AgeGroup0014,..,63363,67946,60472,45879,39953
1,Johor,8,Segamat,0108,Pop_AgeGroup1564,..,81582,102898,108891,123457,145166
1,Johor,8,Segamat,0108,Pop_AgeGroup65++,..,5556,6717,8553,13649,12643
1,Johor,8,Segamat,0108,Pop_MaritalNeverMarried,..,..,60328,38936,49323,58646
1,Johor,8,Segamat,0108,Pop_MaritalMarried,..,..,65393,71791,78296,88748
1,Johor,8,Segamat,0108,Pop_MaritalWiddowed,..,..,5362,6226,8781,8105
1,Johor,8,Segamat,0108,Pop_MaritalDivorcedSeparated,..,..,701,491,706,2244
1,Johor,8,Segamat,0108,Pop_ReligionIslam,..,..,87326,96449,104577,113382
1,Johor,8,Segamat,0108,Pop_ReligionChristian,..,..,2725,2443,1916,2099
1,Johor,8,Segamat,0108,Pop_ReligionBuddha,..,..,55160,55606,56666,62404
1,Johor,8,Segamat,0108,Pop_ReligionHindu,..,..,17354,15117,14321,16807
1,Johor,8,Segamat,0108,Pop_ReligionOthers,..,..,13290,7869,3465,1063
1,Johor,8,Segamat,0108,Pop_ReligionNoReligionUnknown,..,..,1364,432,2040,2007
1,Johor,8,Segamat,0108,LandAreaKm2,..,..,..,..,..,2866.56
1,Johor,8,Segamat,0108,Pop_Density,..,..,..,..,..,68.989311230185308
1,Johor,8,Segamat,0108,Pop_StrataUrban,..,44637,53957,94967,95341,104669
1,Johor,8,Segamat,0108,Pop_StrataRural,..,105864,123604,82949,87644,93093
1,Johor,9,Kulai,0109,Pop_GenderTotal,..,..,..,..,245294,329497
1,Johor,9,Kulai,0109,Pop_GenderMale,..,..,..,..,131179,177734
1,Johor,9,Kulai,0109,Pop_GenderFemale,..,..,..,..,114115,151763
1,Johor,9,Kulai,0109,Pop_CitizenshipCitizen,..,0,..,..,217293,282299
1,Johor,9,Kulai,0109,Pop_CitizenshipNon-citizen,..,..,..,..,28001,47198
1,Johor,9,Kulai,0109,AnnualPopGrowthRate_Average,..,..,..,..,..,2.9510975807680766
1,Johor,9,Kulai,0109,Pop_EthnicMalay,..,..,..,..,107784,151410
1,Johor,9,Kulai,0109,Pop_EthnicOtherBumi,..,..,..,..,3067,3922
1,Johor,9,Kulai,0109,Pop_EthnicChinese,..,..,..,..,81791,95259
1,Johor,9,Kulai,0109,Pop_EthnicIndian,..,..,..,..,23553,30225
1,Johor,9,Kulai,0109,Pop_EthnicOther,..,..,..,..,1098,1483
1,Johor,9,Kulai,0109,Pop_AgeGroup0014,..,..,..,..,65558,68754
1,Johor,9,Kulai,0109,Pop_AgeGroup1564,..,..,..,..,169801,239687
1,Johor,9,Kulai,0109,Pop_AgeGroup65++,..,..,..,..,9935,21056
1,Johor,9,Kulai,0109,Pop_MaritalNeverMarried,..,..,..,..,74965,120385
1,Johor,9,Kulai,0109,Pop_MaritalMarried,..,..,..,..,96420,129752
1,Johor,9,Kulai,0109,Pop_MaritalWiddowed,..,..,..,..,7479,7237
1,Johor,9,Kulai,0109,Pop_MaritalDivorcedSeparated,..,..,..,..,872,3363
1,Johor,9,Kulai,0109,Pop_ReligionIslam,..,..,..,..,124762,181646
1,Johor,9,Kulai,0109,Pop_ReligionChristian,..,..,..,..,24998,9741
1,Johor,9,Kulai,0109,Pop_ReligionBuddha,..,..,..,..,64793,91809
1,Johor,9,Kulai,0109,Pop_ReligionHindu,..,..,..,..,24446,37923
1,Johor,9,Kulai,0109,Pop_ReligionOthers,..,..,..,..,1876,3760
1,Johor,9,Kulai,0109,Pop_ReligionNoReligionUnknown,..,..,..,..,4419,4618
1,Johor,9,Kulai,0109,LandAreaKm2,..,..,..,..,..,755.51
1,Johor,9,Kulai,0109,Pop_Density,..,..,..,..,..,436.12526637635506
1,Johor,9,Kulai,0109,Pop_StrataUrban,..,..,..,..,220853,291941
1,Johor,9,Kulai,0109,Pop_StrataRural,..,..,..,..,24441,37556
1,Johor,10,Tangkak,0110,Pop_GenderTotal,..,..,..,..,131890,163449
1,Johor,10,Tangkak,0110,Pop_GenderMale,..,..,..,..,67980,85231
1,Johor,10,Tangkak,0110,Pop_GenderFemale,..,..,..,..,63910,78218
1,Johor,10,Tangkak,0110,Pop_CitizenshipCitizen,..,0,..,..,124534,155350
1,Johor,10,Tangkak,0110,Pop_CitizenshipNon-citizen,..,..,..,..,7356,8099
1,Johor,10,Tangkak,0110,AnnualPopGrowthRate_Average,..,..,..,..,..,2.1453277323478752
1,Johor,10,Tangkak,0110,Pop_EthnicMalay,..,..,..,..,73639,102070
1,Johor,10,Tangkak,0110,Pop_EthnicOtherBumi,..,..,..,..,844,1311
1,Johor,10,Tangkak,0110,Pop_EthnicChinese,..,..,..,..,43744,42789
1,Johor,10,Tangkak,0110,Pop_EthnicIndian,..,..,..,..,5946,8392
1,Johor,10,Tangkak,0110,Pop_EthnicOther,..,..,..,..,361,788
1,Johor,10,Tangkak,0110,Pop_AgeGroup0014,..,..,..,..,37127,35717
1,Johor,10,Tangkak,0110,Pop_AgeGroup1564,..,..,..,..,83991,117087
1,Johor,10,Tangkak,0110,Pop_AgeGroup65++,..,..,..,..,10772,10645
1,Johor,10,Tangkak,0110,Pop_MaritalNeverMarried,..,..,..,..,34597,50246
1,Johor,10,Tangkak,0110,Pop_MaritalMarried,..,..,..,..,52604,68390
1,Johor,10,Tangkak,0110,Pop_MaritalWiddowed,..,..,..,..,7120,6937
1,Johor,10,Tangkak,0110,Pop_MaritalDivorcedSeparated,..,..,..,..,442,2139
1,Johor,10,Tangkak,0110,Pop_ReligionIslam,..,..,..,..,78977,108783
1,Johor,10,Tangkak,0110,Pop_ReligionChristian,..,..,..,..,18734,1963
1,Johor,10,Tangkak,0110,Pop_ReligionBuddha,..,..,..,..,18753,41096
1,Johor,10,Tangkak,0110,Pop_ReligionHindu,..,..,..,..,6365,9226
1,Johor,10,Tangkak,0110,Pop_ReligionOthers,..,..,..,..,8121,1883
1,Johor,10,Tangkak,0110,Pop_ReligionNoReligionUnknown,..,..,..,..,940,498
1,Johor,10,Tangkak,0110,LandAreaKm2,..,..,..,..,..,976.76
1,Johor,10,Tangkak,0110,Pop_Density,..,..,..,..,..,167.33793357631353
1,Johor,10,Tangkak,0110,Pop_StrataUrban,..,..,..,..,61996,75189
1,Johor,10,Tangkak,0110,Pop_StrataRural,..,..,..,..,69894,88260
2,Kedah,1,Baling,0201,Pop_GenderTotal,104142,104858,114485,124830,132304,142643
2,Kedah,1,Baling,0201,Pop_GenderMale,53026,51586,55536,61755,66462,73102
2,Kedah,1,Baling,0201,Pop_GenderFemale,51116,53272,58949,63075,65842,69541
2,Kedah,1,Baling,0201,Pop_CitizenshipCitizen,104142,104858,114251,124304,130061,139748
2,Kedah,1,Baling,0201,Pop_CitizenshipNon-citizen,..,..,234,526,2243,2895
2,Kedah,1,Baling,0201,AnnualPopGrowthRate_Average,..,6.8517014459135689E-2,0.87836756132947447,0.86509001617299153,0.58149493316851308,0.7524270032249758
2,Kedah,1,Baling,0201,Pop_EthnicMalay,81512,85897,97179,111112,117912,128024
2,Kedah,1,Baling,0201,Pop_EthnicOtherBumi,..,..,175,183,295,724
2,Kedah,1,Baling,0201,Pop_EthnicChinese,10470,8544,6809,5510,4731,4218
2,Kedah,1,Baling,0201,Pop_EthnicIndian,10650,8859,7762,5772,5319,4517
2,Kedah,1,Baling,0201,Pop_EthnicOther,1510,1558,2326,1727,1804,2265
2,Kedah,1,Baling,0201,Pop_AgeGroup0014,..,45319,47212,46439,41981,38544
2,Kedah,1,Baling,0201,Pop_AgeGroup1564,..,55773,61934,71642,80588,93524
2,Kedah,1,Baling,0201,Pop_AgeGroup65++,..,3766,5339,6749,9735,10575
2,Kedah,1,Baling,0201,Pop_MaritalNeverMarried,..,..,34859,25523,29608,35916
2,Kedah,1,Baling,0201,Pop_MaritalMarried,..,..,41765,47061,53103,59302
2,Kedah,1,Baling,0201,Pop_MaritalWiddowed,..,..,4244,5085,6706,6382
